Mto_TC,SUELDO_ESTIMADO,EDAD,ANTIGUEDAD_MES,MARCA,Nombre_territorio,REGION,SEXO,SEGMENTO,FLAG_LIMA_PROVINCIA,FLAG_UNICEF,FLAG_SS
2000,1779.375,50.0,9.0,Visa,T.NORTE,NORTE,M,BAJO VALOR,0.0,0,0
30000,1149.75,,238.0,Visa,T.LIMA SUR,,,CLASICO,,0,0
6700,2047.625,49.0,1.0,Visa,T.LIMA CENTRO,LIMA MODERNA,F,BAJO VALOR,1.0,0,0
5400,1625.375,44.0,1.0,Visa,T.LIMA CENTRO,LIMA CENTRO,M,BAJO VALOR,1.0,0,1
10000,2102.5,31.0,38.0,Visa,T.LIMA CENTRO,ORIENTE,M,BAJO VALOR,0.0,0,0
33000,6730.78,45.0,239.0,Visa,T.MIRAFLORES S.BORJA,LIMA MODERNA,F,CLASICO,1.0,0,0
100000,12965.0,35.0,212.0,Visa,T.MIRAFLORES S.BORJA,LIMA MODERNA,M,VIP,1.0,0,0
20000,315.0,55.0,238.0,Visa,T.LINCE,LIMA MODERNA,M,CLASICO,1.0,0,0
700,2658.33,35.0,132.0,Visa,T.LINCE,LIMA MODERNA,M,CLASICO,1.0,0,0
8000,1452.13,32.0,18.0,Visa,T.LINCE,CALLAO,M,CLASICO,1.0,0,0
8900,2660.0,39.0,122.0,Visa,T.LINCE,LIMA MODERNA,F,BAJO VALOR,1.0,0,0
7600,525.0,47.0,186.0,Visa,T.LIMA RESIDENCIAL,LIMA CENTRO,F,CLASICO,1.0,0,0
10300,2630.88,30.0,115.0,Visa,T.SURCO LA MOLINA,LIMA MODERNA,F,CLASICO,1.0,0,0
30000,4200.0,54.0,242.0,Visa,T.LIMA SUR,LIMA MODERNA,M,VIP,1.0,0,0
5800,1322.78,47.0,109.0,Visa,T.LIMA SUR,LIMA SUR,F,CLASICO,1.0,0,0
12000,4760.0,39.0,97.0,Visa,T.LIMA SUR,LIMA MODERNA,M,CLASICO,1.0,0,0
5200,825.0,45.0,,Visa,T.MIRAFLORES S.BORJA,LIMA SUR,M,,1.0,0,0
5000,2503.0,55.0,226.0,Visa,T.LIMA CENTRO,LIMA PROVINCIA,M,Micro empresa,1.0,0,0
1000,578.0,44.0,78.0,Visa,T.LIMA CENTRO,CALLAO,M,Micro empresa,1.0,0,0
1000,1228.125,47.0,196.0,Visa,T.LIMA CENTRO,LIMA CENTRO,F,CLASICO,1.0,0,0
4700,2705.0,33.0,,Visa,T.LIMA RESIDENCIAL,LIMA NORTE,F,,1.0,0,0
4100,1900.25,34.0,141.0,Visa,T.LIMA CENTRO,LIMA ESTE,M,CLASICO,1.0,0,0
6000,2540.2,20.0,7.0,Visa,T.LIMA CENTRO,,F,BAJO VALOR,,0,0
